,PE,PB,ROE,ROA,DebtToEquity,Momentum_6m,Volatility,Return_1y
AAPL,35.107765,49.916626,1.3652,0.22518998,145.0,-0.019660155102076082,0.24539494613790278,0.28426527594888684
MSFT,31.423853,9.578748,0.34291,0.14649001,33.998,-0.09682807588926323,0.21452634244903873,-0.0675859414972344
TSLA,132.7122,11.999823,0.1042,0.04186,18.489,0.0882399902343749,0.6918154077878127,0.5128732402182068
GOOGL,20.555418,6.200135,0.32908002,0.1674,8.655,0.022177860390822035,0.29075031918962635,0.09928519956924386
AMZN,36.370705,7.450363,0.24290001,0.07438,54.342,0.03739426355173725,0.28353106749088874,0.11844521400699626
JPM,12.716819,2.162821,0.17386,0.014839999,,0.20068452475005238,0.25506694674592806,0.28693132215935657
BAC,13.339563,1.1963902,0.09241,0.00842,,0.08678009449802015,0.24024801151909997,0.16047781679347484
WFC,13.681564,1.5054094,0.10836001,0.0103400005,,0.34745330072439606,0.3001229961457502,0.30629423219982055
C,12.309244,0.7207242,0.06176,0.0053899996,,0.18889631764890713,0.28758451773136895,0.20748327428437818
GS,14.153391,1.7123456,0.11913,0.00861,611.106,0.16528250380636522,0.28518996874951175,0.4125963337352645
XOM,15.104725,1.9522943,0.14515,0.062459998,17.852,0.025122837766329287,0.202791243912115,0.06342591696984345
CVX,17.280865,1.9508032,0.11266,0.056160003,19.334,0.16284075401125842,0.19909614936990044,0.1208027608522233
COP,13.213828,2.032056,0.16209,0.08403,39.12,-0.044904081090264,0.2440668490820919,-0.16277525282378436
BP,245.85713,9.213061,0.01501,0.02321,91.354,0.07929166952249078,0.22708353156541772,-0.028259848794882303
SHEL,14.235867,2.5046299,0.089650005,0.053790003,42.782,0.07982858452730346,0.17688828464748757,0.13864747229270225
PG,26.483307,7.753316,0.31058002,0.108839996,67.428,-0.029860549286021998,0.16975482784764037,0.049690404902907215
KO,28.463413,12.11838,0.39549,0.09017,176.919,-0.00917748437302468,0.15195305196008094,0.18161880159111154
PEP,21.356321,11.304281,0.52304,0.08989,262.787,-0.12131179511159507,0.1834164885839817,-0.11514583655042743
MCD,27.531166,-59.065735,,0.13307,,0.060950129281300836,0.18822024289082095,0.1389478138904474
WMT,35.356846,7.5121217,0.21414,0.07148,63.58,0.06601891558883399,0.21558886643294456,0.41921353959282426
DIS,32.72078,1.7895129,0.05905,0.04251,42.447,0.08880889112649637,0.23632708321064935,-0.1594183715845061
V,34.66062,17.9954,0.51191,0.16712,53.815,0.19673825109104137,0.1766602446619733,0.24273447445522267
MA,39.501442,77.388306,1.90557,0.22715999,291.42,0.10755593005009456,0.1677146500974628,0.15532953162085472
NVDA,38.69388,35.10028,1.1917701,0.57417,12.946,-0.021346116232759504,0.565202996208782,0.26091296494035143
NFLX,48.899246,16.780188,0.38435,0.12720999,72.726,0.3760863534502943,0.3161933575417359,0.5820741904458342
INTC,,1.0215476,-0.17891,-0.01233,48.277,0.03812059533289691,0.5831114541986515,-0.45934897097394833
