,PE,PB,ROE,ROA,DebtToEquity,Momentum_6m,Volatility,Return_1y,Target
AAPL,0.0259932613273778,2.2591664320070115,2.631532215516279,1.5189742144333005,0.1437761584494742,-0.2488057302962802,-0.352381948482931,0.7015948949740312,1
MSFT,-0.0696081475936912,0.0942806579830908,0.0408793310632419,0.6995158537795022,-0.6617680137799083,-0.7131522818133015,-0.6063679565682191,-0.5385150862775574,0
TSLA,2.5589314810635986,0.2242168639814571,-0.5640515105255288,-0.389937375615509,-0.7743171981829415,0.4004674376738667,3.3207531283380565,1.5073303997187384,1
GOOGL,-0.3516555197261034,-0.0870454697728678,0.0058318615791152,0.9172397757414458,-0.8456827716834527,0.0029483408030226,0.0208007928790338,0.0496271663524761,1
AMZN,0.0587678887839443,-0.0199472250043557,-0.2125626169824392,-0.0513249734956414,-0.5141311185903211,0.094510796577221,-0.0385990082524561,0.1171572016828775,1
JPM,-0.5550754462518409,-0.3037232941211792,-0.3875214848664707,-0.6712813929553377,,1.077085795492325,-0.2728009979031339,0.7109914533832337,1
BAC,-0.5389145814436853,-0.355590481842322,-0.5939293314058087,-0.7381292183857543,,0.3916827309740419,-0.3947307826213954,0.2653023484634975,1
WFC,-0.5300392941261775,-0.3390057901542701,-0.5535093533041401,-0.7181373370396181,,1.960245200318177,0.0979189168198868,0.779236600242596,1
C,-0.5656524481566108,-0.3811189084141625,-0.6716015290292675,-0.7696789020840371,,1.006152002536041,-0.0052473330056964,0.4309744681477007,1
GS,-0.5177948849310064,-0.327899771252865,-0.52621640740911,-0.7361508556427414,3.526318562560649,0.8640593698190298,-0.0249496150783386,1.1539014887115704,1
XOM,-0.4931067624257684,-0.3150220108727694,-0.4602773998344804,-0.1754412253558391,-0.7789399224375506,0.0206693066481911,-0.7029240192240755,-0.0767599315658291,0
CVX,-0.4366336300573799,-0.3151020364303271,-0.5426124634816639,-0.2410395168777688,-0.7681850129472356,0.8493665015201407,-0.7333271538049051,0.1254664449910437,1
COP,-0.5421775375486874,-0.3107412956194295,-0.4173486224204057,0.0491550289784273,-0.6245975371203986,-0.400707321783922,-0.3633094939253865,-0.8740126182779848,0
BP,5.495161966557208,0.0746546730950042,-0.7900738043603177,-0.5841292974954454,-0.2455341482424543,0.3466222410941802,-0.5030477556097384,-0.3999091140208889,0
SHEL,-0.5156545455846339,-0.2853788183645525,-0.6009236177705642,-0.2657169889879806,-0.5980223154243571,0.3498530477350651,-0.9160528438230312,0.1883606561593792,1
PG,-0.1978205366082366,-0.0036880990310493,-0.0410502152898564,0.3074875118241932,-0.4191657032122766,-0.3101850938337775,-0.9747467269252222,-0.1251711484871335,0
KO,-0.1464346936746751,0.2305796766884358,0.1741257960238115,0.1130873828842081,0.3754131058323112,-0.1857278093924991,-1.1212192412016375,0.3398143721857174,1
PEP,-0.3308712406203291,0.1868879548842521,0.4973587097879927,0.1101719009471366,0.9985592381631934,-0.8604794415090238,-0.8623389643580204,-0.7061413374835069,0
MCD,-0.1706274883620726,-3.589786825981406,,0.5597808653855093,,0.2362547350939237,-0.8228138082312874,0.1894192189685471,1
WMT,0.0324571764630999,-0.0166327092766764,-0.2854452656079743,-0.0815210364153098,-0.4470907313625681,0.266755407112425,-0.5976255389361423,1.1772240256961497,1
DIS,-0.0359515215755412,-0.3237582943514317,-0.6784691197489925,-0.3831692925473076,-0.6004534184467967,0.4038907146614642,-0.4269920711166452,-0.8621811914580889,0
V,0.0143893761118755,0.5459923265966452,0.4691534386770924,0.9143242938043744,-0.5179555702106963,1.053339677335822,-0.9179291504479878,0.5552183616327533,1
MA,0.1400138219553448,3.7335387135766434,4.000919668364187,1.5394868164720508,1.2063496048542794,0.5166982490167709,-0.9915332524115996,0.2471570657066645,1
NVDA,0.1190567347634912,1.4639908236516035,2.1920320045336794,5.152706159821967,-0.8145428819243828,-0.2589507520752602,2.278989745868943,0.6192889868769229,1
NFLX,0.3838967657292619,0.4807733487608959,0.1458951832497388,0.4987638892924452,-0.3807179903379926,2.1325403607559257,0.2301454010688906,1.7512311874217572,1
