,PE,PB,ROE,ROA,DebtToEquity,Momentum_6m,Volatility,Return_1y
AAPL,0.0259932613273778,2.2591664320070115,2.631532215516279,1.5189742144333005,0.1437761584494742,-0.2488057302962802,-0.35238194848293103,0.7015948949740312
MSFT,-0.0696081475936912,0.09428065798309089,0.0408793310632419,0.6995158537795022,-0.6617680137799083,-0.7131522818133015,-0.6063679565682191,-0.5385150862775574
TSLA,2.5589314810635986,0.2242168639814571,-0.5640515105255288,-0.38993737561550906,-0.7743171981829415,0.4004674376738667,3.3207531283380565,1.5073303997187384
GOOGL,-0.3516555197261034,-0.08704546977286785,0.0058318615791152235,0.9172397757414458,-0.8456827716834527,0.0029483408030226512,0.020800792879033858,0.04962716635247613
AMZN,0.05876788878394434,-0.01994722500435579,-0.21256261698243925,-0.05132497349564149,-0.5141311185903211,0.09451079657722108,-0.038599008252456116,0.11715720168287751
JPM,-0.5550754462518409,-0.3037232941211792,-0.38752148486647076,-0.6712813929553377,,1.077085795492325,-0.27280099790313395,0.7109914533832337
BAC,-0.5389145814436853,-0.355590481842322,-0.5939293314058087,-0.7381292183857543,,0.3916827309740419,-0.39473078262139544,0.2653023484634975
WFC,-0.5300392941261775,-0.3390057901542701,-0.5535093533041401,-0.7181373370396181,,1.960245200318177,0.09791891681988682,0.779236600242596
C,-0.5656524481566108,-0.38111890841416257,-0.6716015290292675,-0.7696789020840371,,1.0061520025360413,-0.005247333005696486,0.43097446814770074
GS,-0.5177948849310064,-0.32789977125286507,-0.52621640740911,-0.7361508556427414,3.5263185625606486,0.8640593698190298,-0.02494961507833868,1.1539014887115704
XOM,-0.4931067624257684,-0.3150220108727694,-0.46027739983448046,-0.1754412253558391,-0.7789399224375506,0.020669306648191194,-0.7029240192240755,-0.07675993156582914
CVX,-0.4366336300573799,-0.31510203643032714,-0.5426124634816639,-0.24103951687776884,-0.7681850129472356,0.8493665015201407,-0.7333271538049051,0.12546644499104373
COP,-0.5421775375486874,-0.3107412956194295,-0.4173486224204057,0.04915502897842737,-0.6245975371203986,-0.400707321783922,-0.3633094939253865,-0.8740126182779848
BP,5.495161966557208,0.07465467309500422,-0.7900738043603177,-0.5841292974954454,-0.24553414824245437,0.3466222410941802,-0.5030477556097384,-0.3999091140208889
SHEL,-0.5156545455846339,-0.28537881836455253,-0.6009236177705642,-0.2657169889879806,-0.5980223154243571,0.34985304773506515,-0.9160528438230312,0.18836065615937925
PG,-0.1978205366082366,-0.0036880990310493127,-0.04105021528985648,0.30748751182419326,-0.4191657032122766,-0.3101850938337775,-0.9747467269252222,-0.12517114848713354
KO,-0.14643469367467515,0.2305796766884358,0.17412579602381154,0.1130873828842081,0.3754131058323112,-0.18572780939249914,-1.1212192412016377,0.3398143721857174
PEP,-0.33087124062032913,0.1868879548842521,0.4973587097879927,0.11017190094713664,0.9985592381631934,-0.8604794415090238,-0.8623389643580204,-0.7061413374835069
MCD,-0.17062748836207264,-3.589786825981406,,0.5597808653855093,,0.2362547350939237,-0.8228138082312874,0.1894192189685471
WMT,0.03245717646309996,-0.016632709276676462,-0.2854452656079743,-0.08152103641530987,-0.44709073136256816,0.26675540711242507,-0.5976255389361423,1.1772240256961495
DIS,-0.03595152157554122,-0.3237582943514317,-0.6784691197489925,-0.3831692925473076,-0.6004534184467967,0.4038907146614642,-0.4269920711166452,-0.8621811914580889
V,0.014389376111875553,0.5459923265966452,0.4691534386770924,0.9143242938043744,-0.5179555702106963,1.053339677335822,-0.9179291504479878,0.5552183616327533
MA,0.14001382195534487,3.7335387135766434,4.000919668364187,1.5394868164720508,1.2063496048542794,0.5166982490167709,-0.9915332524115997,0.24715706570666457
