,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,Momentum_6m,Volatility,RSI,MACD,SMA_50,SMA_200,Volume_Price_Ratio,Return_6m
MMM,21.12259,21.531874,0.91850996,0.05929,350.77,1.017,83253714944,0.14955873864933333,0.3188736455816063,60.59822495642967,0.24274208836651656,148.34845245361328,129.29914237976075,14204.107683762679,0.14955873864933333
AOS,18.43526,5.1275764,0.28627002,0.13533,12.132,1.177,9604960256,-0.18491548667804947,0.24052475416408625,51.855114386925976,-0.0019823797092301115,67.51812362670898,75.71930278778076,4771.50341806461,-0.18491548667804947
ABT,16.400654,4.5583854,0.30906,0.060599998,31.889,0.693,217596444672,0.11449267956604259,0.19492092552624277,22.963108708996856,-1.141845534031941,128.66188247680665,115.31281505584717,21413.94873805621,0.11449267956604259
ABBV,84.71798,107.02166,0.62292,0.084910005,2021.968,0.598,355945414656,0.06039944500127992,0.25160830864546385,32.02618177149226,-1.9287688413404016,195.3687530517578,184.22350181579588,22102.606435247006,0.06039944500127992
ACN,25.505772,6.626933,0.26965,0.11576,26.706,1.239,193819181056,-0.07606824785460942,0.24630931981726417,23.939116202945996,-1.6507770992660937,356.72790161132815,343.1244059753418,6921.660495517427,-0.07606824785460942
ADBE,26.517162,13.376006,0.47284,0.17194,50.118,1.37,174713339904,-0.2308347793590152,0.35263014054834246,32.812539732320715,-2.2479912621418094,432.28529968261716,495.1222738647461,5493.136222798269,-0.2308347793590152
AMD,113.05,3.1852248,0.02893,0.019019999,4.032,1.736,183195271168,-0.2750881355305338,0.45103970804798726,66.30374190332742,2.0812443406301373,110.12539978027344,138.7470004272461,168087.30196407132,-0.2750881355305338
AES,5.331224,2.465366,0.10055,0.02733,351.227,0.931,8994869248,-0.3136753957381929,0.4063416271735929,74.03156894901797,0.09988482333855697,11.307446842193604,14.86691810131073,523967.14523731207,-0.3136753957381929
AFL,11.414849,2.316454,0.22639999,0.03384,37.796,0.926,59998711808,0.02890594945723901,0.19397255375132819,56.99008814432803,0.20500873429278332,105.85311431884766,103.23947902679443,4971.362154456281,0.02890594945723901
A,27.845978,5.732608,0.20614,0.08392999,58.736,1.111,34534526976,-0.13236440282924578,0.26366063946607016,36.992246643507926,0.5116564031418216,135.93999969482422,136.03938568115234,3971.9310733033476,-0.13236440282924578
