,PE,PB,Momentum_6m,Volatility,Return_1y
AAPL,-0.05674401661220071,2.555139684745637,-0.6680377913161266,-0.05140950663201425,0.7401190853531048
MSFT,-0.11366759027884343,0.29577494309016455,-1.369269524784223,-0.34336955259295704,-1.3335644889761413
TSLA,1.579546513905203,0.37339540084488587,0.24602904292690583,3.9908056495285487,1.8137457137378885
GOOGL,-0.3227153722123742,0.0987671331219604,-0.3384671094369364,0.3390135861557371,-0.31641913504996394
AMZN,-0.04006943480556431,0.16203878881056208,-0.12692718040413623,0.2716341970017525,-0.29260289424247926
JPM,-0.475543654146185,-0.13407490758196153,0.9777579300421652,0.02941442204270293,0.6467012010324213
BAC,-0.45699504653382783,-0.18518808432622572,0.15789502457593804,-0.10097779136825107,0.16311641257030476
WFC,-0.4518585410396098,-0.16809752440685552,2.509402305593599,0.45008513625416463,0.9003471284208038
C,-0.47822593590992907,-0.21249609931331828,1.3596106331791438,0.32735896397704867,0.455144454970737
GS,-0.4435664738700273,-0.15666664857741025,0.9807421000076395,0.30475951105321336,1.6020117906603895
XOM,-0.4288581079540423,-0.14408164288164527,-0.365962394431203,-0.45182209203258,-0.5559592766431436
CVX,-0.3873079804624335,-0.14369131472204755,0.9018975358335845,-0.4849655441956008,-0.2081764812336689
COP,-0.4603789847854386,-0.13835594489286615,-1.0096731121945612,-0.0537907475226614,-1.7273249054318287
BP,3.919320188880762,0.27507340234906397,0.27305023868835393,-0.21974439191521103,-1.0572446188853393
SHEL,-0.4419473199210593,-0.11389049855344717,-0.025174998560622476,-0.6974028358877774,-0.24821849939502366
PG,-0.20754846385227874,0.1900340032319344,-0.8559368912579489,-0.7771960226516702,-0.5295908710100934
KO,-0.18184693622953835,0.42562739955454304,-0.8426353231408594,-0.9339920237582252,0.13130789741565715
PEP,-0.3127601172117938,0.37863443331760926,-1.9631513524732853,-0.6462756354748443,-1.6028057867782137
MCD,-0.20242346338085487,-3.537788907265269,-0.07544271463312993,-0.5907882457650209,-0.2336506864991675
WMT,-0.03640926357996081,0.17984638345468623,0.23429358178570134,-0.36133707621636535,1.6530639599837589
